sig_agente,ano_mes,qtd_recebidas,qtd_procedentes,qtd_improcedentes,mes_anomalo,imputado
CELESC,202401,4938,2078,2860,false,false
CELESC,202402,4556,1915,2641,false,false
CELESC,202403,5287,2518,2769,false,false
CELESC,202404,4909,2278,2630,false,false
CELESC,202405,2685,1109,602,true,true
CELESC,202406,6828,3355,1461,false,false
CELESC,202407,14737,3840,2979,false,false
CELESC,202408,18063,6292,4563,false,false
CELESC,202409,17783,6412,3275,false,false
CELESC,202410,26030,7927,5308,false,false
CELESC,202411,20771,16821,3752,false,false
CELESC,202412,21176,9082,3576,false,false
CELESC,202501,26589,7537,2541,false,false
CELESC,202502,17605,7498,3192,false,false
CELESC,202503,18013,9697,2993,false,false
CELESC,202504,15432,22063,3713,false,false
CELESC,202505,15434,18073,3096,false,false
CELESC,202506,14032,7989,2856,true,true
CELESC,202507,12997,28434,4623,false,false
CELESC,202508,11228,36676,10613,false,false
CELESC,202509,9735,32085,12080,false,false
CELESC,202510,11166,26272,11180,false,false
CELESC,202511,8526,16674,9787,false,false
CELESC,202512,6716,10139,30829,true,true
CELESC,202601,11959,6029,5929,false,false
CELESC,202602,9677,4706,3919,false,false
CELESC,202603,6106,6176,5905,false,false
CELESC,202604,4811,5976,8010,false,false
CELESC,202605,6036,10107,13668,false,false
CELESC,202606,9942,5765,6384,false,false
