SigAgente,AnoCompetencia,MesCompetencia,linhas_removidas,recebidas_removidas,procedentes_removidas
Neoenergia Elektro,2026,5,2002,3834,744
Equatorial GO,2026,2,135,341,0
Equatorial GO,2025,5,127,235,0
Equatorial GO,2025,6,126,348,0
Equatorial GO,2025,9,125,307,0
RGE,2025,1,124,292,0
Equatorial GO,2025,10,123,318,0
Equatorial GO,2025,11,120,237,0
Equatorial GO,2025,12,120,368,0
Equatorial GO,2025,3,118,407,0
Equatorial GO,2025,4,116,267,0
Equatorial GO,2025,8,108,252,0
CPFL Paulista,2025,1,105,311,0
Neoenergia Cosern,2025,9,96,327,56
Equatorial GO,2025,7,88,214,0
Equatorial GO,2024,2,84,207,0
Neoenergia Brasília,2026,6,75,236,0
Chesp,2024,12,43,94,0
CPFL Paulista,2025,5,36,67,0
RGE,2025,2,34,144,0
