sig_agente,excluida_ranking,meses_com_ucs,ucs_media
CEMIG-D,false,30,9386194
ELETROPAULO,false,30,7956337
COELBA,false,30,6186539
COPEL-DIS,false,30,5199557
CPFL-PAULISTA,false,30,4948906
LIGHT SESA,false,30,3885111
ENEL CE,false,30,3863441
Neoenergia PE,false,30,3791330
EQUATORIAL GO,false,30,3502170
CELESC,true,30,3310610
RGE SUL,false,30,3090962
EQUATORIAL PA,false,30,3029043
ELEKTRO,false,30,3024460
EQUATORIAL MA,false,30,2818678
ENEL RJ,false,30,2677402
EDP SP,false,30,2172234
CEEE-D,false,30,1947656
CPFL-PIRATINING,false,30,1928207
EPB,false,30,1861403
EDP ES,false,30,1763049
EMT,false,30,1653068
COSERN,false,30,1564901
EQUATORIAL PI,false,30,1535594
EQUATORIAL AL,false,30,1385018
Neoenergia Brasília,false,30,1184982
EMS,false,30,1134041
Âmbar Amazonas,false,30,910912
ESE,false,30,887568
ESS,false,30,882172
ERO,false,30,705387
ETO,false,30,674347
EMR,false,30,596917
CPFL JAGUARI,false,30,508059
