posicao,sig_agente,indicador_inicio,indicador_fim,var_pct,var_abs,volume_inicio,volume_fim,posicao_sem_imputacao
1,ERO,4.3183,2.5697,-40.49,-1.7486,3001,1841,1
2,Âmbar Amazonas,6.1417,3.6837,-40.02,-2.458,5584,3373,2
3,EMT,11.0649,6.6693,-39.73,-4.3956,17838,11276,3
4,EMS,3.7267,2.3189,-37.78,-1.4078,4162,2667,4
5,ENEL RJ,6.9594,4.4262,-36.4,-2.5332,18528,11924,5
6,EDP ES,4.2441,2.7954,-34.13,-1.4487,7362,5009,6
7,CEEE-D,11.1024,7.4184,-33.18,-3.684,21351,14625,7
8,CEMIG-D,4.2074,3.0601,-27.27,-1.1473,38977,29098,8
9,EQUATORIAL AL,11.002,8.1961,-25.5,-2.8059,15005,11552,9
10,ELEKTRO,7.2161,5.703,-20.97,-1.5131,21659,17353,13
11,EDP SP,3.6299,2.9081,-19.88,-0.7218,7786,6399,10
12,ELETROPAULO,11.8224,9.7526,-17.51,-2.0698,93025,78593,11
13,ETO,1.7415,1.4379,-17.43,-0.3036,1148,991,12
14,ESS,1.8432,1.5416,-16.36,-0.3016,1606,1376,14
15,EQUATORIAL PA,8.0948,6.7923,-16.09,-1.3025,24235,20823,15
16,ESE,1.1436,0.9729,-14.93,-0.1707,992,882,16
17,Neoenergia Brasília,5.971,5.5502,-7.05,-0.4208,7002,6654,30
18,ENEL CE,7.4645,7.1581,-4.1,-0.3064,28866,27768,18
19,Neoenergia PE,3.9484,3.8221,-3.2,-0.1263,14810,14700,19
20,CPFL-PIRATINING,5.9516,5.7858,-2.79,-0.1658,11311,11302,20
21,EQUATORIAL MA,4.9369,4.9118,-0.51,-0.0251,13713,14064,21
22,COELBA,5.8292,5.8442,0.26,0.015,35578,36542,17
23,CPFL JAGUARI,5.4687,5.6334,3.01,0.1647,2737,2902,22
24,LIGHT SESA,10.397,10.9918,5.72,0.5948,39882,43254,23
25,EPB,2.0163,2.1768,7.96,0.1605,3671,4142,24
26,EMR,2.4782,2.7698,11.77,0.2916,1460,1670,25
27,RGE SUL,3.8519,4.3257,12.3,0.4738,11771,13507,26
28,EQUATORIAL GO,4.1055,4.6524,13.32,0.5469,14076,16644,27
29,COPEL-DIS,4.0411,4.5803,13.34,0.5392,20735,24133,28
30,EQUATORIAL PI,10.8593,12.3879,14.08,1.5286,16420,19332,29
31,CPFL-PAULISTA,3.8922,5.1707,32.85,1.2785,19030,25893,31
32,COSERN,4.4198,9.5675,116.47,5.1477,6855,15091,32
