posicao,sig_agente,valor_inicio,valor_fim,var_pct
1,RGE SUL,37.45,11.12,-70.31
2,CEEE-D,109.19,34.25,-68.63
3,ENEL CE,24.12,13.82,-42.7
4,EQUATORIAL AL,28.39,17.51,-38.32
5,EQUATORIAL GO,21.98,15.89,-27.71
6,ERO,32.96,24.06,-27
7,COSERN,9.59,7.09,-26.07
8,LIGHT SESA,15.89,11.99,-24.54
9,CEMIG-D,14.84,12.54,-15.5
10,ELETROPAULO,21.06,18.15,-13.82
11,ENEL RJ,25.15,21.78,-13.4
12,EMT,18.35,16.4,-10.63
13,ETO,21.46,19.39,-9.65
14,Neoenergia PE,18.38,16.65,-9.41
15,EDP SP,9.05,8.3,-8.29
16,Âmbar Amazonas,42.24,39.22,-7.15
17,EDP ES,10.84,10.15,-6.37
18,EQUATORIAL PI,32.31,30.4,-5.91
19,EPB,12.89,12.27,-4.81
20,ESE,10.57,10.88,2.93
21,EQUATORIAL PA,26.91,28.5,5.91
22,EQUATORIAL MA,19.34,20.82,7.65
23,CPFL-PIRATINING,4.39,4.94,12.53
24,COELBA,18.8,21.77,15.8
25,EMS,17.95,21.25,18.38
26,CPFL JAGUARI,4.24,5.11,20.52
27,Neoenergia Brasília,5.8,7.12,22.76
28,CPFL-PAULISTA,4.6,5.8,26.09
29,EMR,9.75,12.34,26.56
30,ELEKTRO,9.99,13.7,37.14
31,COPEL-DIS,12.68,18.12,42.9
32,ESS,6.12,11.1,81.37
