sig_agente,posicao,indicador_inicio,indicador_fim,var_pct,var_abs,volume_inicio,volume_fim
ERO,1,4.3183,2.5697,-40.49,-1.7486,3001,1841
Âmbar Amazonas,2,6.1417,3.6837,-40.02,-2.458,5584,3373
EMT,3,11.0649,6.6693,-39.73,-4.3956,17838,11276
EMS,4,3.7267,2.3189,-37.78,-1.4078,4162,2667
ENEL RJ,5,6.9594,4.4262,-36.4,-2.5332,18528,11924
EDP ES,6,4.2441,2.7954,-34.13,-1.4487,7362,5009
CEEE-D,7,11.1024,7.4184,-33.18,-3.684,21351,14625
CEMIG-D,8,4.2074,3.0601,-27.27,-1.1473,38977,29098
EQUATORIAL AL,9,11.002,8.1961,-25.5,-2.8059,15005,11552
ELEKTRO,10,7.2161,5.703,-20.97,-1.5131,21659,17353
EDP SP,11,3.6299,2.9081,-19.88,-0.7218,7786,6399
ELETROPAULO,12,11.8224,9.7526,-17.51,-2.0698,93025,78593
ETO,13,1.7415,1.4379,-17.43,-0.3036,1148,991
ESS,14,1.8432,1.5416,-16.36,-0.3016,1606,1376
EQUATORIAL PA,15,8.0948,6.7923,-16.09,-1.3025,24235,20823
ESE,16,1.1436,0.9729,-14.93,-0.1707,992,882
ENEL CE,17,7.4645,7.1581,-4.1,-0.3064,28866,27768
Neoenergia PE,18,3.9484,3.8221,-3.2,-0.1263,14810,14700
CPFL-PIRATINING,19,5.9516,5.7858,-2.79,-0.1658,11311,11302
EQUATORIAL MA,20,4.9369,4.9118,-0.51,-0.0251,13713,14064
COELBA,21,5.8292,5.8442,0.26,0.015,35578,36542
CPFL JAGUARI,22,5.4687,5.6334,3.01,0.1647,2737,2902
LIGHT SESA,23,10.397,10.9918,5.72,0.5948,39882,43254
EPB,24,2.0163,2.1768,7.96,0.1605,3671,4142
EMR,25,2.4782,2.7698,11.77,0.2916,1460,1670
RGE SUL,26,3.8519,4.3257,12.3,0.4738,11771,13507
EQUATORIAL GO,27,4.1055,4.6524,13.32,0.5469,14076,16644
COPEL-DIS,28,4.0411,4.5803,13.34,0.5392,20735,24133
EQUATORIAL PI,29,10.8593,12.3879,14.08,1.5286,16420,19332
Neoenergia Brasília,30,5.971,7.5104,25.78,1.5394,7002,9004
CPFL-PAULISTA,31,3.8922,5.1707,32.85,1.2785,19030,25893
COSERN,32,4.4198,9.5675,116.47,5.1477,6855,15091
