sig_agente,total_procedentes,faturamento,pagamento,outras_comerciais,total_recebidas
ERO,1,3,1,5,5
Âmbar Amazonas,2,2,3,9,3
EMT,3,4,6,4,7
EMS,4,7,12,2,4
ENEL RJ,5,1,5,31,2
EDP ES,6,12,9,3,16
CEEE-D,7,16,13,1,27
CEMIG-D,8,10,18,7,1
EQUATORIAL AL,9,6,7,16,6
ELEKTRO,10,19,15,10,21
EDP SP,11,5,25,13,20
ELETROPAULO,12,24,8,6,13
ETO,13,9,22,14,12
ESS,14,25,21,8,14
EQUATORIAL PA,15,15,11,15,8
ESE,16,30,2,11,9
ENEL CE,17,22,10,22,10
Neoenergia PE,18,18,14,21,30
CPFL-PIRATINING,19,13,23,28,25
EQUATORIAL MA,20,27,17,19,18
COELBA,21,23,26,18,29
CPFL JAGUARI,22,11,27,30,26
LIGHT SESA,23,28,24,17,24
EPB,24,29,19,20,19
EMR,25,17,20,24,15
RGE SUL,26,8,31,27,22
EQUATORIAL GO,27,20,4,23,11
COPEL-DIS,28,31,28,12,28
EQUATORIAL PI,29,26,16,25,17
Neoenergia Brasília,30,14,32,26,31
CPFL-PAULISTA,31,21,29,29,23
COSERN,32,32,30,32,32
