sig_agente,var_recebidas_pct,var_taxa_pp,quadrante_p3
CEMIG-D,-48.3,6.4,"recebidas em queda, taxa em alta"
ENEL RJ,-48.2,5.5,"recebidas em queda, taxa em alta"
Âmbar Amazonas,-37.4,-1.2,recebidas e taxa em queda
EMS,-32.8,-2.5,recebidas e taxa em queda
ERO,-32.8,-3.7,recebidas e taxa em queda
EQUATORIAL AL,-32.2,3.2,"recebidas em queda, taxa em alta"
EMT,-29,-7.2,recebidas e taxa em queda
EQUATORIAL PA,-28,3.6,"recebidas em queda, taxa em alta"
ESE,-25.7,5.4,"recebidas em queda, taxa em alta"
ENEL CE,-24.7,12.1,"recebidas em queda, taxa em alta"
EQUATORIAL GO,-24.4,9.3,"recebidas em queda, taxa em alta"
ETO,-21.8,2.2,"recebidas em queda, taxa em alta"
ELETROPAULO,-14.4,-2.4,recebidas e taxa em queda
ESS,-13,-0.5,recebidas e taxa em queda
EMR,-12.8,13.8,"recebidas em queda, taxa em alta"
EDP ES,-10.9,-9,recebidas e taxa em queda
EQUATORIAL PI,-6.3,6.2,"recebidas em queda, taxa em alta"
EQUATORIAL MA,-1,-0.2,recebidas e taxa em queda
EPB,0.4,3.2,recebidas e taxa em alta
EDP SP,4,-5.8,"recebidas em alta, taxa em queda"
ELEKTRO,4.3,-9.4,"recebidas em alta, taxa em queda"
RGE SUL,8.4,0.4,recebidas e taxa em alta
CPFL-PAULISTA,12.5,5.3,recebidas e taxa em alta
LIGHT SESA,13.4,-1.5,"recebidas em alta, taxa em queda"
CPFL-PIRATINING,15.5,-6.7,"recebidas em alta, taxa em queda"
CPFL JAGUARI,16.7,-2.3,"recebidas em alta, taxa em queda"
CEEE-D,19.4,-14.6,"recebidas em alta, taxa em queda"
COPEL-DIS,30.1,-3.3,"recebidas em alta, taxa em queda"
COELBA,34.3,-12.1,"recebidas em alta, taxa em queda"
Neoenergia PE,41.6,-13.5,"recebidas em alta, taxa em queda"
Neoenergia Brasília,101.8,-8.5,"recebidas em alta, taxa em queda"
COSERN,183.9,-10.4,"recebidas em alta, taxa em queda"
