sig_agente,escalada_inicio_pct,escalada_fim_pct,variacao_pp
ESE,29,67.3,38.3
ENEL RJ,25.5,62,36.5
EMS,47.5,80.5,33
EMR,19.9,46.4,26.5
ETO,15.8,34.7,18.9
ESS,21.8,40.3,18.4
EMT,14.5,31.8,17.3
ERO,30.3,44.6,14.3
ENEL CE,29.2,42.6,13.5
EDP ES,16.2,27.6,11.5
ELETROPAULO,24.2,35.2,10.9
CEMIG-D,11.2,20.7,9.5
COSERN,13,20.3,7.3
EQUATORIAL GO,15,22.1,7.1
EDP SP,19,24.3,5.3
EQUATORIAL MA,6.2,9.3,3.1
Âmbar Amazonas,8.9,11.6,2.7
ELEKTRO,9.5,11.5,2.1
EQUATORIAL PA,9.2,11.1,1.9
COELBA,26.4,28.3,1.8
EQUATORIAL AL,8.9,10.2,1.3
RGE SUL,10.1,10.6,0.4
COPEL-DIS,6.6,5.9,-0.8
EQUATORIAL PI,11.9,10.9,-1
CEEE-D,11.2,8.9,-2.3
CPFL JAGUARI,11,7.5,-3.5
CPFL-PAULISTA,14.3,10.8,-3.6
CPFL-PIRATINING,13.3,9.7,-3.6
LIGHT SESA,14.9,10.3,-4.7
Neoenergia PE,31.2,22.9,-8.3
Neoenergia Brasília,18.1,9.6,-8.5
EPB,39.7,17.8,-21.9
