sig_agente,posicao_qualidade,var_qualidade_pct,posicao_dec_fi,var_dec_fi_pct,posicao_fec_fi,var_fec_fi_pct,diferenca_dec
RGE SUL,17,0.71,1,-70.31,2,-31.81,16
CEEE-D,1,-63.11,2,-68.63,1,-37.11,-1
ENEL CE,3,-27.86,3,-42.7,6,-17.3,0
EQUATORIAL AL,22,8.13,4,-38.32,4,-25.45,18
EQUATORIAL GO,28,18.76,5,-27.71,3,-26.12,23
ERO,2,-33.57,6,-27,7,-16.65,-4
COSERN,9,-12.84,7,-26.07,9,-9.88,2
LIGHT SESA,16,-0.09,8,-24.54,11,-6.85,8
CEMIG-D,23,8.51,9,-15.5,12,-6.11,14
ELETROPAULO,4,-25.44,10,-13.82,28,12.9,-6
ENEL RJ,8,-14.81,11,-13.4,10,-8.42,-3
EMT,11,-10.16,12,-10.63,16,-4.89,-1
ETO,6,-16.72,13,-9.65,19,-3.26,-7
Neoenergia PE,18,1.9,14,-9.41,14,-5.51,4
EDP SP,12,-5.96,15,-8.29,5,-19.04,-3
Âmbar Amazonas,19,2.51,16,-7.15,18,-4.36,3
EDP ES,15,-0.92,17,-6.37,21,-2.34,-2
EQUATORIAL PI,13,-5.91,18,-5.91,17,-4.67,-5
EPB,5,-24.55,19,-4.81,8,-11.81,-14
ESE,14,-5.21,20,2.93,15,-5.37,-6
EQUATORIAL PA,24,9.5,21,5.91,25,9.64,3
EQUATORIAL MA,32,81.78,22,7.65,29,12.99,10
CPFL-PIRATINING,27,17.3,23,12.53,13,-5.65,4
COELBA,25,15.04,24,15.8,23,8.18,1
EMS,10,-11.83,25,18.38,31,27.58,-15
CPFL JAGUARI,26,17.17,26,20.52,20,-3.15,0
Neoenergia Brasília,30,21.79,27,22.76,27,11.94,3
CPFL-PAULISTA,31,22.14,28,26.09,22,2.11,3
EMR,7,-15.5,29,26.56,26,10.92,-22
ELEKTRO,21,7.86,30,37.14,24,9.52,-9
COPEL-DIS,29,21.59,31,42.9,30,14.31,-2
ESS,20,7.66,32,81.37,32,33.03,-12
